Name,City,Address,Rating_City,Rating_Food,Rating_Service,Rating_Value,Rating_Ambience,Rating_total,Rating_Excellent,Rating_Very_Good,Rating_Average,Rating_Bad,Rating_Very_Bad,Reviews,Type,Remarks,Expensive,Price,URL,Phone,Num_of_days,Menu
Vrutal,מחוז ברצלונה,"‪Rambla del Poblenou No 16‬ Bajos 4, 08005 ברצלונה ספרד","מס' 1 מתוך 8,850 מסעדות בברצלונה",50.0,50.0,45.0,,5.0,752,29,3,8,3,795,"בר, בריא","ידידותי לצמחוניים, אפשרויות לטבעונים, אפשרויות ללא גלוטן",‪$$ - $$$‬,29 ₪ - 80 ₪,http://www.vrutal.es/es,+34 934 91 48 06,7.0,https://www.vrutal.es/es/comida
BelleBuon,מחוז ברצלונה,"‪Travessera de Gracia, 441‬, 08025 ברצלונה ספרד","מס' 2 מתוך 8,850 מסעדות בברצלונה",50.0,45.0,45.0,45.0,5.0,"2,686",274,60,38,21,"3,079","איטלקי, נפוליטני, קמפניה, סיציליאני, דרום איטלקי",אפשרויות ללא גלוטן,‪$$ - $$$‬,36 ₪ - 90 ₪,http://www.bellebuon.com/,+34 935 14 19 71,6.0,https://www.facebook.com/bellebuon.restauranteitaliano/menu/
La Gastronomica Burgers,מחוז ברצלונה,"‪Carrer Vilamari 9-15‬, 08015 ברצלונה ספרד","מס' 5 מתוך 8,850 מסעדות בברצלונה",50.0,50.0,45.0,,5.0,"1,295",137,40,5,6,"1,483",מאכלי רחוב,"ידידותי לצמחוניים, אפשרויות לטבעונים, אפשרויות ללא גלוטן",‪$$ - $$$‬,43 ₪ - 54 ₪,http://www.lagastronomicabcn.com/,+34 934 24 90 28,5.0,http://lagastronomicabcn.com/
La Cala Barceloneta,מחוז ברצלונה,"‪Carrer de l'Escar, 18‬, 08039 ברצלונה ספרד","מס' 9 מתוך 8,850 מסעדות בברצלונה",50.0,50.0,50.0,,5.0,178,4,4,2,0,188,"ידידותי לצמחוניים, אפשרויות לטבעונים, אפשרויות ללא גלוטן","ארוחת בוקר, ארוחת צהריים, בראנץ'",$,"בית קפה, ים תיכוני, ספרדי",https://www.facebook.com/La-Cala-Barceloneta-1692878571005872/?ref=page_internal,+34 627 25 77 01,7.0,
Blu Bar,מחוז ברצלונה,,,,,,,5.0,"1,131",72,19,20,13,"1,255","בר, ים תיכוני, בריא, בינלאומי, מאכלי רחוב","ידידותי לצמחוניים, אפשרויות לטבעונים, אפשרויות ללא גלוטן",,11 ₪ - 72 ₪,,,7.0,
La Boca Agua,מחוז ברצלונה,,,,,,,4.5,6,4,1,1,0,12,"איטלקי, ים תיכוני, עכשווי","ארוחת ערב, ארוחת בוקר, ארוחת צהריים, בראנץ', שעות הלילה המאוחרות, משקאות",,54 ₪ - 163 ₪,,,,
9 Nine,מחוז ברצלונה,,,,,,,4.5,"1,376",235,59,17,19,"1,706","מסעדת סטייקים, בינלאומי, ים תיכוני, אירופאי, ספרדי, קטלאנית","ידידותי לצמחוניים, אפשרויות לטבעונים, אפשרויות ללא גלוטן",,76 ₪ - 217 ₪,,,5.0,
Wine Mood,מחוז ברצלונה,"‪Villaroel 26, Barcelona‬ Local 2, 08011 ברצלונה ספרד","מס' 21 מתוך 8,850 מסעדות בברצלונה",50.0,50.0,50.0,,5.0,388,36,12,0,1,437,"איטלקי, ים תיכוני, אירופאי, ספרדי, בריא, בר יין, סרדיניאני, דרום איטלקי, קטלאנית, פיוז'ן","ידידותי לצמחוניים, אפשרויות ללא גלוטן",‪$$ - $$$‬,7 ₪ - 54 ₪,,+34 933 82 33 83,6.0,
Indian Herbs,מחוז ברצלונה,"‪Carrer de corsega, 421‬ Tienda 2, 08037 ברצלונה ספרד","מס' 31 מתוך 8,850 מסעדות בברצלונה",50.0,50.0,45.0,,5.0,106,4,1,0,1,112,"הודי, בריא, אסייתי","ידידותי לצמחוניים, אפשרויות לטבעונים, אפשרויות ללא גלוטן",‪$$ - $$$‬,54 ₪ - 90 ₪,http://indianherbs.es/,+34 931 74 71 54,6.0,
Cremat 11,מחוז ברצלונה,"‪Carrer Cremat Gran iXic 11‬, 08003 ברצלונה ספרד","מס' 32 מתוך 8,850 מסעדות בברצלונה",50.0,50.0,45.0,,5.0,448,32,16,2,3,501,"אירופאי, בינלאומי","ידידותי לצמחוניים, אפשרויות לטבעונים, אפשרויות ללא גלוטן",‪$$ - $$$‬,36 ₪ - 90 ₪,https://www.facebook.com/Cremat-11-182335966047417/,+34 682 03 83 77,7.0,https://www.facebook.com/Cremat-11-182335966047417/menu/
b Restaurant,מחוז ברצלונה,"‪Carrer Rosselló 24‬ Esquina Rocafort, 08029 ברצלונה ספרד","מס' 35 מתוך 8,850 מסעדות בברצלונה",50.0,50.0,50.0,,5.0,134,9,1,1,0,145,"אמריקאי, עכשווי, ברביקיו, בר יין","ידידותי לצמחוניים, אפשרויות לטבעונים, אפשרויות ללא גלוטן",‪$$ - $$$‬,36 ₪ - 72 ₪,http://www.brestaurantbarcelona.com/,+34 938 09 57 23,,http://www.brestaurantbarcelona.com/#menus
Jobs Restaurant,מחוז ברצלונה,,,,,,,5.0,243,21,10,0,1,275,"ים תיכוני, אירופאי, ספרדי, בריא, קטלאנית","אפשרויות לטבעונים, אפשרויות ללא גלוטן",,36 ₪ - 145 ₪,,,5.0,
Eixampeling Brunch Café & Bar,מחוז ברצלונה,"‪Diputacion 158‬, 08011 ברצלונה ספרד","מס' 41 מתוך 8,850 מסעדות בברצלונה",50.0,50.0,45.0,,5.0,940,101,28,16,4,"1,089","ידידותי לצמחוניים, אפשרויות לטבעונים, אפשרויות ללא גלוטן","ארוחת בוקר, ארוחת צהריים, בראנץ', משקאות",‪$$ - $$$‬,"בית קפה, בריא, פיוז'ן",http://www.eixampeling.com/,+34 938 55 22 19,7.0,http://eixampeling.com/menu/
Restaurante Out of India,מחוז ברצלונה,,,,,,,4.5,83,30,5,7,3,128,הודי,"ידידותי לצמחוניים, אפשרויות לטבעונים, אפשרויות ללא גלוטן",,25 ₪ - 90 ₪,,,7.0,
Pizzeria Da Nanni Tallers,מחוז ברצלונה,,,,,,,5.0,146,4,3,0,3,156,"פיצה, מזון מהיר, דרום איטלקי, איטלקי, נפוליטני, קמפניה","ידידותי לצמחוניים, אפשרויות לטבעונים",,11 ₪ - 54 ₪,,,7.0,
Brugarol Barcelona,מחוז ברצלונה,"‪Salomó Ben Adret, 10‬ Barrio Gótico, 08002 ברצלונה ספרד","מס' 51 מתוך 8,850 מסעדות בברצלונה",50.0,50.0,50.0,,5.0,307,15,9,1,5,337,"קטלאנית, בינלאומי, פיוז'ן יפני",אפשרויות ללא גלוטן,‪$$ - $$$‬,90 ₪ - 145 ₪,http://www.brugarolbarcelona.com/,+34 933 15 89 95,7.0,https://www.brugarolbarcelona.com/
Gallo Nero,מחוז ברצלונה,"‪Carrer de Jaume I, 3‬ Placa de Sant Jaume I, 08002 ברצלונה ספרד","מס' 61 מתוך 8,850 מסעדות בברצלונה",50.0,45.0,45.0,,5.0,352,39,6,4,8,409,"פאב, בר יין, ברים עם אוכל, מאכלי רחוב",ידידותי לצמחוניים,$,29 ₪ - 72 ₪,http://glovoapp.com/es/bcn/store/gallo-nero-barcelona/,+34 647 19 98 77,7.0,https://www.tripadvisor.co.il/Restaurant_Review-g187497-d13954971-Reviews-Gallo_Nero-Barcelona_Catalonia.html#
Chaka Khan,מחוז ברצלונה,,,,,,,5.0,"1,942",189,49,30,33,"2,243",ברים עם אוכל,"ידידותי לצמחוניים, אפשרויות לטבעונים, אפשרויות ללא גלוטן",,22 ₪ - 145 ₪,,,7.0,
Vai Moana,מחוז ברצלונה,"‪Avenida Litoral S/N‬ Playa Bogatell, 08005 ברצלונה ספרד","מס' 65 מתוך 8,850 מסעדות בברצלונה",45.0,45.0,45.0,45.0,4.5,"1,363",208,51,28,35,"1,685","בר, ים תיכוני, אירופאי, ספרדי, קטלאנית","ידידותי לצמחוניים, אפשרויות לטבעונים, אפשרויות ללא גלוטן",‪$$ - $$$‬,43 ₪ - 127 ₪,http://www.panteabeach.com/vai-moana/,+34 608 32 43 50,7.0,https://www.panteabeach.com/wp-content/uploads/2019/10/190831_VAI-MOANA-_-MENU-_-COMPLETO-_-CAST_ENG-MOD_compressed.pdf
Restaurante Loto,מחוז ברצלונה,"‪Calle del Call 17‬ Bajo 2, 08002 ברצלונה ספרד","מס' 69 מתוך 8,850 מסעדות בברצלונה",45.0,50.0,45.0,,5.0,145,15,5,1,0,166,אסייתי,"ידידותי לצמחוניים, אפשרויות לטבעונים",‪$$ - $$$‬,22 ₪ - 54 ₪,http://restauranteloto.com/,+34 935 31 82 78,,
