Name,City,Address,Rating_City,Rating_Food,Rating_Service,Rating_Value,Rating_Ambience,Rating_total,Rating_Excellent,Rating_Very_Good,Rating_Average,Rating_Bad,Rating_Very_Bad,Reviews,Type,Remarks,Expensive,Price,URL,Phone,Num_of_days,Menu
Vrutal,מחוז ברצלונה,"‪Rambla del Poblenou No 16‬ Bajos 4, 08005 ברצלונה ספרד","מס' 1 מתוך 8,850 מסעדות בברצלונה",50,50,45,,5.0,752,29,3,8,3,795,"בר, בריא","ידידותי לצמחוניים, אפשרויות לטבעונים, אפשרויות ללא גלוטן",‪$$ - $$$‬,29 ₪ - 80 ₪,http://www.vrutal.es/es,+34 934 91 48 06,7.0,https://www.vrutal.es/es/comida
BelleBuon,מחוז ברצלונה,"‪Travessera de Gracia, 441‬, 08025 ברצלונה ספרד","מס' 2 מתוך 8,850 מסעדות בברצלונה",50,45,45,45,5.0,"2,686",274,60,38,21,"3,079","איטלקי, נפוליטני, קמפניה, סיציליאני, דרום איטלקי",אפשרויות ללא גלוטן,‪$$ - $$$‬,36 ₪ - 90 ₪,http://www.bellebuon.com/,+34 935 14 19 71,6.0,https://www.facebook.com/bellebuon.restauranteitaliano/menu/
La Gastronomica Burgers,מחוז ברצלונה,"‪Carrer Vilamari 9-15‬, 08015 ברצלונה ספרד","מס' 5 מתוך 8,850 מסעדות בברצלונה",50,50,45,,5.0,"1,295",137,40,5,6,"1,483",מאכלי רחוב,"ידידותי לצמחוניים, אפשרויות לטבעונים, אפשרויות ללא גלוטן",‪$$ - $$$‬,43 ₪ - 54 ₪,http://www.lagastronomicabcn.com/,+34 934 24 90 28,5.0,http://lagastronomicabcn.com/
La Cala Barceloneta,מחוז ברצלונה,"‪Carrer de l'Escar, 18‬, 08039 ברצלונה ספרד","מס' 9 מתוך 8,850 מסעדות בברצלונה",50,50,50,,5.0,178,4,4,2,0,188,"ידידותי לצמחוניים, אפשרויות לטבעונים, אפשרויות ללא גלוטן","ארוחת בוקר, ארוחת צהריים, בראנץ'",$,"בית קפה, ים תיכוני, ספרדי",https://www.facebook.com/La-Cala-Barceloneta-1692878571005872/?ref=page_internal,+34 627 25 77 01,7.0,
Blu Bar,מחוז ברצלונה,,,,,,,5.0,"1,131",72,19,20,13,"1,255","בר, ים תיכוני, בריא, בינלאומי, מאכלי רחוב","ידידותי לצמחוניים, אפשרויות לטבעונים, אפשרויות ללא גלוטן",,11 ₪ - 72 ₪,,,7.0,
La Boca Agua,מחוז ברצלונה,,,,,,,4.5,6,4,1,1,0,12,"איטלקי, ים תיכוני, עכשווי","ארוחת ערב, ארוחת בוקר, ארוחת צהריים, בראנץ', שעות הלילה המאוחרות, משקאות",,54 ₪ - 163 ₪,,,,
9 Nine,מחוז ברצלונה,,,,,,,4.5,"1,376",235,59,17,19,"1,706","מסעדת סטייקים, בינלאומי, ים תיכוני, אירופאי, ספרדי, קטלאנית","ידידותי לצמחוניים, אפשרויות לטבעונים, אפשרויות ללא גלוטן",,76 ₪ - 217 ₪,,,5.0,
Wine Mood,מחוז ברצלונה,"‪Villaroel 26, Barcelona‬ Local 2, 08011 ברצלונה ספרד","מס' 21 מתוך 8,850 מסעדות בברצלונה",50,50,50,,5.0,388,36,12,0,1,437,"איטלקי, ים תיכוני, אירופאי, ספרדי, בריא, בר יין, סרדיניאני, דרום איטלקי, קטלאנית, פיוז'ן","ידידותי לצמחוניים, אפשרויות ללא גלוטן",‪$$ - $$$‬,7 ₪ - 54 ₪,,+34 933 82 33 83,6.0,
Indian Herbs,מחוז ברצלונה,"‪Carrer de corsega, 421‬ Tienda 2, 08037 ברצלונה ספרד","מס' 31 מתוך 8,850 מסעדות בברצלונה",50,50,45,,5.0,106,4,1,0,1,112,"הודי, בריא, אסייתי","ידידותי לצמחוניים, אפשרויות לטבעונים, אפשרויות ללא גלוטן",‪$$ - $$$‬,54 ₪ - 90 ₪,http://indianherbs.es/,+34 931 74 71 54,6.0,
Cremat 11,מחוז ברצלונה,"‪Carrer Cremat Gran iXic 11‬, 08003 ברצלונה ספרד","מס' 32 מתוך 8,850 מסעדות בברצלונה",50,50,45,,5.0,448,32,16,2,3,501,"אירופאי, בינלאומי","ידידותי לצמחוניים, אפשרויות לטבעונים, אפשרויות ללא גלוטן",‪$$ - $$$‬,36 ₪ - 90 ₪,https://www.facebook.com/Cremat-11-182335966047417/,+34 682 03 83 77,7.0,https://www.facebook.com/Cremat-11-182335966047417/menu/
